Date,Open,High,Low,Close,Adj Close,Volume
12/1/2003,2.9715,2.9741,2.9578,2.9589,2.9589,-
12/2/2003,2.9589,2.9785,2.9554,2.9737,2.9737,-
12/3/2003,2.9737,2.9782,2.9614,2.9646,2.9646,-
12/4/2003,2.9632,2.965,2.9453,2.9481,2.9481,-
12/5/2003,2.9483,2.9695,2.9475,2.9695,2.9695,-
12/8/2003,2.9616,2.9695,2.9525,2.9653,2.9653,-
12/9/2003,2.9654,2.9903,2.9632,2.9856,2.9856,-
12/10/2003,2.9861,2.9942,2.9744,2.981,2.981,-
12/11/2003,2.9805,2.9975,2.978,2.9921,2.9921,-
12/12/2003,2.993,2.9964,2.98,2.9879,2.9879,-
12/15/2003,2.9788,2.9879,2.972,2.9849,2.9849,-
12/16/2003,2.9836,2.9951,2.9738,2.992,2.992,-
12/17/2003,2.9922,3.0203,2.9885,3.0147,3.0147,-
12/18/2003,3.0162,3.0266,3.0108,3.0226,3.0226,-
12/19/2003,3.0221,3.0252,3.0109,3.0148,3.0148,-
12/22/2003,3.0113,3.0181,3.0056,3.0113,3.0113,-
12/23/2003,3.0112,3.108,3.0087,3.0102,3.0102,-
12/24/2003,3.0105,3.0297,3.0099,3.0293,3.0293,-
12/25/2003,3.027,3.0308,3.0167,3.0272,3.0272,-
12/26/2003,3.0271,3.0276,3.0163,3.0252,3.0252,-
12/29/2003,3.0224,3.0254,3.0119,3.0198,3.0198,-
12/30/2003,3.0191,3.0318,3.0141,3.0249,3.0249,-
12/31/2003,3.0264,3.0474,3.0204,3.0381,3.0381,-
1/1/2004,3.0381,3.0381,3.025,3.0342,3.0342,-
1/2/2004,3.0332,3.0523,3.0219,3.0558,3.0558,-
1/5/2004,3.0524,3.0724,3.0471,3.0668,3.0668,-
1/6/2004,3.0676,3.1007,3.0656,3.0881,3.0881,-
1/7/2004,3.0897,3.0971,3.0774,3.0824,3.0824,-
1/8/2004,3.0818,3.1089,3.0696,3.1057,3.1057,-
1/9/2004,3.1056,3.133,3.1011,3.133,3.133,-
1/12/2004,3.1241,3.1393,3.1191,3.1204,3.1204,-
1/13/2004,3.1214,3.1372,3.1174,3.13,3.13,-
1/14/2004,3.13,3.13,3.0103,3.105,3.105,-
1/15/2004,3.1051,3.1108,3.0828,3.0953,3.0953,-
1/16/2004,3.0953,3.102,3.0526,3.0579,3.0579,-
1/19/2004,3.0627,3.077,3.0449,3.047,3.047,-
1/20/2004,3.0469,3.1105,3.0455,3.1035,3.1035,-
1/21/2004,3.1037,3.1219,3.09,3.1073,3.1073,-
1/22/2004,3.1073,3.1301,3.1058,3.1173,3.1173,-
1/23/2004,3.1173,3.1324,3.0818,3.0952,3.0952,-
1/26/2004,3.0945,3.0999,3.0674,3.0785,3.0785,-
1/27/2004,3.0778,3.099,3.0611,3.0935,3.0935,-
1/28/2004,3.0935,3.1075,3.075,3.0802,3.0802,-
1/29/2004,3.0803,3.1015,3.0787,3.0934,3.0934,-
1/30/2004,3.0929,3.0971,3.0679,3.0825,3.0825,-
2/2/2004,3.0906,3.0965,3.0722,3.0858,3.0858,-
2/3/2004,3.1026,3.1156,3.0982,3.1085,3.1085,-
2/4/2004,3.109,3.1156,3.0982,3.1023,3.1023,-
2/5/2004,3.1026,3.1153,3.0959,3.1084,3.1084,-
2/6/2004,3.1077,3.1289,3.1029,3.1122,3.1122,-
2/9/2004,3.1117,3.1365,3.1093,3.1302,3.1302,-
2/10/2004,3.1302,3.1376,3.1228,3.1279,3.1279,-
2/11/2004,3.1277,3.1634,3.1194,3.1551,3.1551,-
2/12/2004,3.1551,3.17,3.154,3.1659,3.1659,-
2/13/2004,3.1656,3.1767,3.1474,3.1679,3.1679,-
2/16/2004,3.1557,3.1656,3.1484,3.1611,3.1611,-
2/17/2004,3.1606,3.1942,3.1599,3.1905,3.1905,-
2/18/2004,3.1941,3.2031,3.1618,3.1758,3.1758,-
2/19/2004,3.1751,3.1968,3.1717,3.1953,3.1953,-
2/20/2004,3.1961,3.1963,3.148,3.1536,3.1536,-
